,speaker,twitter_handle,followers,tweets,verified
114,daniel mielke,DanielDMielke,24,0,0
115,ben carson,SecretaryCarson,277252,1383,1
116,raymond bateman,RaymondBatema10,0,0,0
117,mark neumann,MarkNeumannnn,1173,361,0
118,sarah palin,SarahPalinUSA,1512095,17582,1
119,rana foroohar,RanaForoohar,18309,3711,1
120,tom niehaus,CasaDiPace,150,2292,0
121,sherrod brown,SenSherrodBrown,369742,5926,1
122,john kasich,JohnKasich,946770,11812,1
123,robby mook,RobbyMook,82808,634,1
124,lindsey graham,LindseyGrahamSC,854207,9497,1
125,mark strama,markstrama,1776,166,0
126,fix austin schools,FixAustinSchool,24,15,0
127,steven teske,scteskelaw,2364,2088,0
128,kesha rogers,KeshaRogersTX,465,1093,0
129,james bennett,James_L_Bennett,2856,4435,1
130,jeff merkley,JeffMerkley,103510,2763,1
131,dick cheney,KenadiTaylor,599,18403,0
132,michael moore,MMFlint,6039059,14435,1
133,bill richardson,WBRichardson,720,1356,0
134,paul sarlo,PaulASarlo,3012,807,0
135,connie mack,ConnieMackIV,22060,2282,1
136,allen west,AllenWest,753588,13792,1
137,evan feinberg,evanfeinberg,1968,4674,0
138,moveon,MoveOn,340945,70112,1
139,lou dobbs,LouDobbs,1933849,31793,1
140,trent franks,TrentFranksNews,142,139,0
141,kim guadagno,KimGuadagnoNJ,11427,5360,1
142,ted strickland,Ted_Strickland,16261,4417,1
143,christine sinicki,sinicki328,40,194,0
144,michele bachmann,MicheleBachmann,250996,4276,1
145,dan patrick,DanPatrick,52848,5454,1
146,jeb bush,JebBush,1419822,5489,1
147,newt gingrich,newtgingrich,2117403,12303,1
148,tom barrett,Barrett4MKE,13357,1933,0
149,chris thomas,ctkmusic,854,1205,0
150,joyce kaufman,joyceonair,3938,3781,0
151,christopher plante,Chris91UconnBoY,101,1789,0
152,gerry connolly,GerryConnolly,47424,7272,1
153,dave weldon,Davweldon,360,376,0
154,john garamendi,RepGaramendi,27886,13308,1
155,peter kilmartin,PeterFKilmartin,482,334,1
156,david dewhurst,DavidHDewhurst,12641,1667,1
157,joshua feuerstein,TheEvangel1st,19,239,0
158,bill belichick,BelichickFDN,3896,1027,0
159,josh mandel,JoshMandelOhio,14708,5,1
160,bill clinton,BillClinton,11083996,847,1
161,chip rogers,chiprogers,387,3344,0
162,chris hayes,chrislhayes,1853892,121446,1
163,progress texas,ProgressTX,10846,28406,0
164,bill foster,RepBillFoster,40639,3029,1
165,ken legler,KenLegler,2371,570,0
166,bob mcdonnell,BobMcDonnell,29567,2601,1
167,dwight jones,DwightJones21,785,740,0
168,rick santorum,RickSantorum,289614,6410,1
169,chris wallace,ChrisWallace101,29801,10555,1
170,lloyd doggett,RepLloydDoggett,32736,7345,1
171,cory mason,MayorCoryMason,3966,5492,0
172,dan kaufman,dankaufman70,1148,637,0
173,larry elder,larryelder,527396,54577,1
174,dale kooyenga,DaleKooyenga,6181,1529,0
175,dan gelber,MayorDanGelber,1459,1292,1
176,mary nolan,marybnolan,1826,3819,0
177,michelle rhee,MichelleRhee,76655,3146,1
178,joe gibbons,JoeGibbonsEEA,2111,782,0
179,steve rothman,steve02476,148,487,0
180,mary margaret oliver,mmo_mary,3238,462,0
181,herb garrett,cook_n_good,8,3,0
182,peter shumlin,GovPeterShumlin,21118,7576,1
183,karen handel,karenhandel,17875,3501,1
184,adam kinzinger,RepKinzinger,49621,7806,1
185,donna howard,DonnaHowardTX,15661,17008,0
186,john bradley,johnbradleywest,116256,346,1
187,glenn grothman,GrothmanforWI,1367,1236,1
188,we are ohio,We_Are_Ohio,4634,2800,0
189,arianna huffington,ariannahuff,2962196,40249,1
190,joe lieberman,JoeLieberman,31767,745,1
191,jon erpenbach,JonErpenbach,6372,4095,0
192,john kerry,JohnKerry,3355137,2518,1
193,kathleen vinehout,VinehoutK,3637,1112,0
194,michael burgess,michaelcburgess,28122,5608,1
195,ralph nader,RalphNader,77331,10798,1
196,leticia van de putte,leticiavdp,30697,8624,1
197,craig melvin,craigmelvin,69987,7740,1
198,john plumb,JohnFPlumb,605,304,1
199,judicial watch,JudicialWatch,1094885,60480,1
200,tom price,pricetom,9698,16706,1
201,sondy pope,RepSondy,1751,327,1
202,carlos curbelo,carloslcurbelo,22029,4437,1
203,claudia tenney,claudiatenney,7930,2358,1
204,loretta weinberg,SenatorLorettaW,8163,2048,0
205,todd hunter,toddahunter,5819,9536,0
206,tim knopp,SenatorKnopp,1718,438,0
207,sandy adams,pastor_sandy,1427,153,0
208,brett hulsey,hulsey07,94,1321,0
209,reince priebus,Reince,937309,10806,1
210,victoria taft,VictoriaTaft,6254,85117,0
211,rahm emanuel,RahmEmanuel,128826,2071,1
212,frank annunziato,cheech870000,8,3,0
213,michael steele,MichaelSteele,112401,5023,1
214,claire mccaskill,clairecmc,449171,5696,1
215,60 plus association,60PlusAssoc,5456,7206,0
216,chris abele,ChrisAbeleMKE,5566,3420,1
217,michael doherty,profmdoherty,1942,8674,0
218,ellen rosenblum,ORDOJ,3878,1173,1
219,john kline,repjohnkline,8607,3041,1
220,american crossroads,AmericanXRoads,9782,1785,1
221,tim kaine,timkaine,989301,9857,1
222,debbie wasserman schultz,DWStweets,366971,10176,1
223,jeff morales,jeffmorales,662,7186,0
224,virginia education association,VEA4Kids,2128,2425,0
225,jimmy carter,CarterLibrary,55120,4885,1
226,jeff dickerson,DickersonESPN,94281,28621,1
227,chris jacobs,ChrisJacobs,66609,14911,1
228,phil kerpen,kerpen,36502,100458,1
229,joanne kloppenburg,joanne8553,0,0,0
230,paul krugman,paulkrugman,4525830,15165,1
231,mike pence,mike_pence,3799267,5674,1
232,kay bailey hutchison,kaybaileyhutch,23384,5227,1
233,rob zerban,robzerban,5127,2372,0
234,jackie cilley,jackielcilley,1121,4247,0
235,arsalan iftikhar,TheMuslimGuy,60680,10630,1
236,marc schare,marcschare,343,852,0
237,john kitzhaber,GovKitz,17226,3868,1
238,katie mcginty,kate_mcginty,388,6665,0
239,adam putnam,adamputnam,30685,5028,1
240,virginia foxx,virginiafoxx,24108,3867,1
241,clay pell,ClayPell,3347,1470,1
242,bill proctor,billproctor314,605,1052,0
243,kevin dewine,KevinDeWine,4022,2260,0
244,erik wallin,dr_blackheart,174,7742,0
245,kasim reed,KasimReed,419676,8461,1
246,alberta darling,SenDarling,5150,2426,0
247,cory gardner,SenCoryGardner,116300,4541,1
248,priorities usa action,Mills_Gro6,15,41,0
249,ed gillespie,EdWGillespie,41452,4550,1
250,tommy thompson,tomthom11,5862,5328,1
251,mike lee,SenMikeLee,498916,4923,1
252,david axelrod,davidaxelrod,1135710,11197,1
253,paul broun,PaulBrounMD,12047,1582,1
254,matthew hill,matthewhillbbc,496,104,0
255,lisa boothe,LisaMarieBoothe,196869,19733,1
256,jeff greene,JeffGreeneUNC,666,2647,0
257,jamie radtke,jamieradtke,3886,7288,0
258,sylvester turner,SylvesterTurner,86163,22726,1
259,chris redfern,ChrisRedfern419,6506,15627,0
260,kathleen falk,FalkforWI,890,505,0
261,steve lonegan,Lonegan,7812,4618,0
262,anissa naouai,AnissaNow,25392,4723,1
263,sean duffy,RepSeanDuffy,38763,6984,1
264,angel taveras,Angel_Taveras,10653,4104,0
265,mike rogers,RepMikeRogersAL,24824,4674,1
266,bill nelson,NelsonForSenate,14586,893,1
267,lincoln chafee,LincolnChafee,19157,3612,1
268,kathleen clyde,KathleenClyde,10531,5223,1
269,richard ferruccio,Dick_Nixon5813,2,0,0
270,terry lawler,tlawler,853,191,0
271,ray mcberry,RayMcBerry,469,325,0
272,gene sperling,genebsperling,22888,5787,1
273,cokie roberts,CokieRoberts,14176,803,1
274,barbara boxer,BarbaraBoxer,120818,3529,1
275,randy forbes,Randy_Forbes,19927,3318,1
276,joaquin castro,JoaquinCastrotx,152755,14402,1
277,markos moulitsas,markos,177107,57835,1
278,brigid shea,CommishShea,721,1655,0
279,carly fiorina,CarlyFiorina,696855,4692,1
280,ken allen,K_Factionrec,778,917,0
281,neera tanden,neeratanden,172514,67656,1
282,chuck todd,chucktodd,2050873,50434,1
283,betty sutton,BettySutton,7571,1238,1
284,keith olbermann,KeithOlbermann,1047074,87406,1
285,jennette gayer,JennetteGayer,340,226,0
286,bill hammond,NYHammond,10081,51850,1
287,jim renacci,JimRenacci,10485,3085,1
288,tobias read,TobiasRead,693,520,1
289,rob turner,ReynardCity,6024,139869,0
290,christina romer,ChrisRomer91,184,755,0
291,mike dewine,MikeDeWine,17447,2295,1
292,roy cooper,RoyCooperNC,42468,1957,1
293,rod monroe,SenatorMonroe,232,24,0
294,joel keehn,jkeehn,303,73,0
295,jack kingston,JackKingston,18595,5616,1
296,miriam martinez,miriam__lisset,1035,12163,0
297,dan micciche,DanforDISD,639,410,0
298,wayne thorburn,waynethorburn,5,1,0
299,rich zipperer,zipperer_rich,2,0,0
300,mark miller,RetireRevised,8286,5384,1
301,george lemieux,George_LeMieux,9809,2413,0
302,social media,socialmediaweek,133159,25759,1
303,susana martinez,Gov_Martinez,18061,590,1
304,deborah ross,DeborahRossNC,6406,723,0
305,joseph kyrillos,Jmansourk,1,0,0
306,barry hinckley,BarryHinckley,2177,1709,0
307,joe barton,RepJoeBarton,27444,2082,1
308,peter palumbo,PetiePal,207,1098,0
309,bettylou decroce,BLDeCroce4NJ,1520,2378,0
310,carla smith,JLA_President,2644,9811,0
311,winning our future,WinOurFuture,1900,187,0
312,pat mccrory,PatMcCroryNC,45567,5411,1
313,michael savage,ASavageNation,192246,3803,1
314,marvin pratt,MarvinPratt22,22,208,0
315,sharron angle,SharronAngle,8198,1246,0
316,david simas,d_simas,13819,2957,1
317,patrick murphy,PatrickMurphyFL,13040,3321,1
318,sean spicer,seanspicer,407701,19345,1
319,helen glover,Helenglovergb,55354,7419,1
320,lee camp,LeeCamp,103222,63021,1
321,citizens united political victory fund,cupvf,21,286,0
322,fred thompson,fredthompson,144842,4386,1
323,lainey melnick,lmelnick,1245,3591,0
324,caleb rowden,calebrowden,6683,18195,1
325,brian kemp,BrianKempGA,47467,6881,1
326,leonidas raptakis,senraptakis,66,0,0
327,howard dean,GovHowardDean,140376,38448,1
328,lou ann zelenik,louannzelenik,1215,4320,0
329,marty beil,johnnystubble,658,712,0
330,joe sestak,JoeSestak,9985,3191,1
331,funny or die,funnyordie,13830227,31047,1
332,susan stimpson,SusanBStimpson,1171,3310,0
333,desmond meade,desmondmeade,6205,2408,1
334,terri lynn land,LandforGovernor,19,5,0
335,blake rocap,BlakeRocap,2002,9412,0
336,tim canova,Tim_Canova,44536,8646,1
337,kamala harris,KamalaHarris,2647181,10806,1
338,david shuster,DavidShuster,73627,12276,1
339,john oliver,iamjohnoliver,5191413,439,1
340,ellyn bogdanoff,ellynbogdanoff,2010,101,0
341,earl blumenauer,repblumenauer,62503,3907,1
342,ted poe,JudgeTedPoe,34707,5589,1
343,bill maher,billmaher,11022735,4258,1
344,laurence ehrhardt,Lauehr,5,1,0
345,dana rohrabacher,DanaRohrabacher,39359,13081,1
346,jim demint,JimDeMint,217566,6171,1
347,john lewis,repjohnlewis,1059567,1925,1
348,gina raimondo,GovRaimondo,68197,8277,1
349,kitty boitnott,kittyboitnott,875,8421,0
350,deadspin,Deadspin,1059200,96509,1
351,nancy devaney,Dev04,252,321,0
352,herman cain,THEHermanCain,520491,16367,1
353,chet edwards,ChetEdwards,436,311,0
354,glenn beck,glennbeck,1214283,16826,1
355,glenn hegar,Glenn_Hegar,6804,3959,1
356,jon runyan,RepJonRunyan,5895,742,1
357,david perdue,sendavidperdue,64315,3792,1
358,ted gatsas,Gatsas4Mayor,1379,1943,0
359,charlotte nash,charlotte_nash8,1176,7035,0
360,ron wyden,RonWyden,443826,8384,1
361,steve archambault,Arch_Steve,34081,1399,0
362,tom scott,tomscott,96642,21728,1
363,tim pawlenty,TimPawlenty,66098,289,1
364,rachel oconnor,Rachinthetron,376,1138,0
365,steve cohen,RepCohen,63490,9344,1
366,lon burnam,LonBurnam,2124,307,0
367,marsha blackburn,VoteMarsha,37715,5793,1
368,sally kohn,sallykohn,118264,50848,1
369,grover norquist,GroverNorquist,74697,37822,1
370,mitch daniels,purduemitch,36018,589,0
371,david porter,davidnporter80,236,625,0
372,kathleen murphy,kmurphyva,4016,3063,1
373,dekalb county,ItsInDeKalb,10211,9901,1
374,steve oelrich,SteveOelrich,743,238,0
375,national taxpayers union,NTU,10970,11930,1
376,michael roberson,RobersonForNV,6421,3718,1
